Name,DIY,Buy_Price,Sell_Price,Color 1,Color 2,Style,Type,Balance
Aran-knit sweater,No,1200,300,Blue,Blue,Simple,Top,-900
argyle sweater,No,1200,300,Green,Red,Simple,Top,-900
argyle sweater,No,1200,300,Gray,Purple,Simple,Top,-900
argyle sweater,No,1200,300,Yellow,White,Simple,Top,-900
argyle sweater,No,1200,300,Black,Blue,Simple,Top,-900
argyle sweater,No,1200,300,Red,Gray,Simple,Top,-900
argyle sweater,No,1200,300,Purple,White,Simple,Top,-900
argyle sweater,No,1200,300,Pink,Orange,Simple,Top,-900
argyle sweater,No,1200,300,White,Green,Simple,Top,-900
argyle vest,No,1440,360,Blue,Light blue,Simple,Top,-1080
argyle vest,No,1440,360,Pink,White,Simple,Top,-1080
argyle vest,No,1440,360,Brown,White,Simple,Top,-1080
argyle vest,No,1440,360,Red,White,Simple,Top,-1080
argyle vest,No,1440,360,Gray,White,Simple,Top,-1080
argyle vest,No,1440,360,Green,White,Simple,Top,-1080
athletic jacket,No,960,240,Red,White,Active,Top,-720
athletic jacket,No,960,240,Green,White,Active,Top,-720
athletic jacket,No,960,240,Black,White,Active,Top,-720
athletic jacket,No,960,240,Blue,White,Active,Top,-720
baseball shirt,No,1120,280,Blue,White,Active,Top,-840
baseball shirt,No,1120,280,Red,Black,Active,Top,-840
baseball shirt,No,1120,280,Gray,Blue,Active,Top,-840
baseball shirt,No,1120,280,Black,White,Active,Top,-840
baseball shirt,No,1120,280,White,Red,Active,Top,-840
baseball shirt,No,1120,280,Yellow,Black,Active,Top,-840
basketball tank,No,1120,280,Purple,Yellow,Active,Top,-840
basketball tank,No,1120,280,Red,Black,Active,Top,-840
basketball tank,No,1120,280,Green,Orange,Active,Top,-840
basketball tank,No,1120,280,Orange,Blue,Active,Top,-840
basketball tank,No,1120,280,Blue,Red,Active,Top,-840
basketball tank,No,1120,280,Yellow,Green,Active,Top,-840
basketball tank,No,1120,280,Light blue,Blue,Active,Top,-840
basketball tank,No,1120,280,Black,Red,Active,Top,-840
bear tee,No,800,200,Green,Brown,Active,Top,-600
big-star tee,No,560,140,Blue,Yellow,Simple,Top,-420
biker jacket,No,1750,437,Black,Black,Cool,Top,-1313
biker jacket,No,1750,437,Brown,Brown,Cool,Top,-1313
biker jacket,No,1750,437,Beige,Beige,Cool,Top,-1313
biker jacket,No,1750,437,Red,Red,Cool,Top,-1313
biker jacket,No,1750,437,Blue,Blue,Cool,Top,-1313
biker jacket,No,1750,437,Yellow,Yellow,Cool,Top,-1313
blossom tee,No,800,200,Pink,White,Cute,Top,-600
blossom tee,No,800,200,Light blue,White,Cute,Top,-600
blossom tee,No,800,200,Yellow,White,Cute,Top,-600
blossom tee,No,800,200,Green,White,Cute,Top,-600
blossom tee,No,800,200,Purple,White,Cute,Top,-600
boa blouson,No,1680,420,Purple,White,Cute,Top,-1260
boa blouson,No,1680,420,Beige,White,Cute,Top,-1260
boa blouson,No,1680,420,Blue,White,Cute,Top,-1260
boa blouson,No,1680,420,White,White,Cute,Top,-1260
boa fleece,No,1400,350,White,Blue,Active,Top,-1050
boa fleece,No,1400,350,Green,Black,Active,Top,-1050
boa fleece,No,1400,350,Blue,Black,Active,Top,-1050
boa fleece,No,1400,350,Beige,Orange,Active,Top,-1050
boa fleece,No,1400,350,Pink,Blue,Active,Top,-1050
boa fleece,No,1400,350,Yellow,Blue,Active,Top,-1050
boa fleece,No,1400,350,Green,Green,Active,Top,-1050
bold aloha shirt,No,960,240,Blue,Red,Active,Top,-720
bold aloha shirt,No,960,240,Pink,Light blue,Active,Top,-720
bomber-style jacket,No,1440,360,Green,Green,Cool,Top,-1080
bomber-style jacket,No,1440,360,Black,Black,Cool,Top,-1080
bomber-style jacket,No,1440,360,Blue,Blue,Cool,Top,-1080
bomber-style jacket,No,1440,360,Brown,Brown,Cool,Top,-1080
bone tee,No,640,160,Yellow,White,Simple,Top,-480
bonjour tee,No,640,160,White,Red,Simple,Top,-480
botanical tee,No,800,200,Black,Red,Cool,Top,-600
botanical tee,No,800,200,White,Red,Cool,Top,-600
bowling shirt,No,1260,315,Red,Black,Cool,Top,-945
bowling shirt,No,1260,315,Blue,Black,Cool,Top,-945
bowling shirt,No,1260,315,Yellow,Black,Cool,Top,-945
bowling shirt,No,1260,315,Orange,Black,Cool,Top,-945
bowling shirt,No,1260,315,Beige,Black,Cool,Top,-945
bowling shirt,No,1260,315,Green,Black,Cool,Top,-945
bowling shirt,No,1260,315,Light blue,Black,Cool,Top,-945
bowling shirt,No,1260,315,Purple,Black,Cool,Top,-945
bulldog jacket,No,1440,360,Black,White,Cool,Top,-1080
bulldog jacket,No,1440,360,White,Black,Cool,Top,-1080
bulldog jacket,No,1440,360,Red,Black,Cool,Top,-1080
business suitcoat,No,1960,490,Black,Blue,Cool,Top,-1470
business suitcoat,No,1960,490,Gray,Pink,Cool,Top,-1470
business suitcoat,No,1960,490,Light blue,Light blue,Cool,Top,-1470
business suitcoat,No,1960,490,Red,Red,Cool,Top,-1470
business suitcoat,No,1960,490,Blue,Red,Cool,Top,-1470
café uniform,No,1500,375,Black,White,Elegant,Top,-1125
café uniform,No,1500,375,Green,White,Elegant,Top,-1125
café uniform,No,1500,375,Red,White,Elegant,Top,-1125
café uniform,No,1500,375,Brown,White,Elegant,Top,-1125
camo bomber-style jacket,No,1400,350,Green,Beige,Cool,Top,-1050
camo bomber-style jacket,No,1400,350,Gray,Black,Cool,Top,-1050
camo bomber-style jacket,No,1400,350,Purple,Green,Cool,Top,-1050
camo tee,No,960,240,Brown,Beige,Cool,Top,-720
camo tee,No,960,240,Green,Beige,Cool,Top,-720
camo tee,No,960,240,Pink,Brown,Cool,Top,-720
camo tee,No,960,240,Gray,Black,Cool,Top,-720
camo tee,No,960,240,Blue,Blue,Cool,Top,-720
camo tee,No,960,240,Purple,Purple,Cool,Top,-720
camo tee,No,960,240,Red,Beige,Cool,Top,-720
camper tee,No,840,210,Green,Green,Simple,Top,-630
cardigan-shirt combo,No,840,210,Yellow,White,Simple,Top,-630
cardigan-shirt combo,No,840,210,Green,White,Simple,Top,-630
cardigan-shirt combo,No,840,210,Pink,White,Simple,Top,-630
cardigan-shirt combo,No,840,210,Blue,White,Simple,Top,-630
cardigan-shirt combo,No,840,210,Gray,White,Simple,Top,-630
cardigan-shirt combo,No,840,210,Black,White,Simple,Top,-630
career jacket,No,1680,420,Gray,White,Simple,Top,-1260
career jacket,No,1680,420,Beige,White,Simple,Top,-1260
career jacket,No,1680,420,Pink,White,Simple,Top,-1260
career jacket,No,1680,420,Light blue,White,Simple,Top,-1260
career jacket,No,1680,420,Pink,Black,Simple,Top,-1260
career jacket,No,1680,420,Green,Black,Simple,Top,-1260
career jacket,No,1680,420,Blue,Black,Simple,Top,-1260
career jacket,No,1680,420,Red,Black,Simple,Top,-1260
cavalier shirt,No,2080,520,Blue,Yellow,Elegant,Top,-1560
cavalier shirt,No,2080,520,Red,Yellow,Elegant,Top,-1560
cavalier shirt,No,2080,520,Green,Yellow,Elegant,Top,-1560
checkered chesterfield coat,No,2380,595,Brown,Beige,Elegant,Top,-1785
checkered chesterfield coat,No,2380,595,Green,White,Elegant,Top,-1785
checkered chesterfield coat,No,2380,595,Light blue,Black,Elegant,Top,-1785
checkered chesterfield coat,No,2380,595,Gray,Blue,Elegant,Top,-1785
checkered muffler,No,1440,360,White,Blue,Simple,Top,-1080
checkered muffler,No,1440,360,Gray,Brown,Simple,Top,-1080
checkered muffler,No,1440,360,Brown,Yellow,Simple,Top,-1080
checkered muffler,No,1440,360,Beige,Red,Simple,Top,-1080
chef's outfit,No,1680,420,White,Red,Simple,Top,-1260
chef's outfit,No,1680,420,White,Blue,Simple,Top,-1260
chef's outfit,No,1680,420,White,Green,Simple,Top,-1260
chef's outfit,No,1680,420,White,Yellow,Simple,Top,-1260
chef's outfit,No,1680,420,White,Orange,Simple,Top,-1260
chef's outfit,No,1680,420,White,Brown,Simple,Top,-1260
chef's outfit,No,1680,420,White,Black,Simple,Top,-1260
chesterfield coat,No,2320,580,Beige,Black,Cool,Top,-1740
chesterfield coat,No,2320,580,Brown,Red,Cool,Top,-1740
chesterfield coat,No,2320,580,Black,Gray,Cool,Top,-1740
chesterfield coat,No,2320,580,Gray,Green,Cool,Top,-1740
chick tee,No,800,200,White,Light blue,Simple,Top,-600
Chimayo vest,No,1120,280,Blue,Red,Elegant,Top,-840
Chimayo vest,No,1120,280,Red,Green,Elegant,Top,-840
Chimayo vest,No,1120,280,White,Blue,Elegant,Top,-840
Chimayo vest,No,1120,280,Light blue,Gray,Elegant,Top,-840
ciao tee,No,640,160,Red,White,Simple,Top,-480
coatigan,No,2380,595,Purple,White,Elegant,Top,-1785
coatigan,No,2380,595,Pink,White,Elegant,Top,-1785
coatigan,No,2380,595,Light blue,White,Elegant,Top,-1785
coatigan,No,2380,595,Gray,White,Elegant,Top,-1785
coatigan,No,2380,595,Green,White,Elegant,Top,-1785
collarless coat,No,2000,500,Gray,Black,Simple,Top,-1500
collarless coat,No,2000,500,Beige,Black,Simple,Top,-1500
collarless coat,No,2000,500,Pink,Black,Simple,Top,-1500
collarless shirt,No,960,240,Black,Black,Simple,Top,-720
collarless shirt,No,960,240,White,White,Simple,Top,-720
college cardigan,No,1200,300,Blue,Yellow,Simple,Top,-900
college cardigan,No,1200,300,Red,Orange,Simple,Top,-900
college cardigan,No,1200,300,Gray,Blue,Simple,Top,-900
college cardigan,No,1200,300,Orange,Blue,Simple,Top,-900
college cardigan,No,1200,300,White,Yellow,Simple,Top,-900
color-block dress shirt,No,960,240,Light blue,Blue,Simple,Top,-720
color-block dress shirt,No,960,240,Red,Brown,Simple,Top,-720
color-block dress shirt,No,960,240,Green,Green,Simple,Top,-720
color-block dress shirt,No,960,240,Pink,Purple,Simple,Top,-720
color-block dress shirt,No,960,240,Yellow,Green,Simple,Top,-720
color-block dress shirt,No,960,240,Gray,Black,Simple,Top,-720
colorful striped sweater,No,1200,300,Blue,Red,Elegant,Top,-900
colorful striped sweater,No,1200,300,White,Blue,Elegant,Top,-900
colorful striped sweater,No,1200,300,White,Red,Elegant,Top,-900
colorful striped sweater,No,1200,300,Pink,Black,Elegant,Top,-900
colorful striped sweater,No,1200,300,Brown,Black,Elegant,Top,-900
colorful striped sweater,No,1200,300,Gray,Light blue,Elegant,Top,-900
comedian's outfit,No,2500,625,Orange,Green,Gorgeous,Top,-1875
comedian's outfit,No,2500,625,Blue,Purple,Gorgeous,Top,-1875
comedian's outfit,No,2500,625,Red,Orange,Gorgeous,Top,-1875
comedian's outfit,No,2500,625,Yellow,Green,Gorgeous,Top,-1875
comedian's outfit,No,2500,625,Green,Light blue,Gorgeous,Top,-1875
comedian's outfit,No,2500,625,Purple,Red,Gorgeous,Top,-1875
comedian's outfit,No,2500,625,Green,Blue,Gorgeous,Top,-1875
comedian's outfit,No,2500,625,White,Green,Gorgeous,Top,-1875
coverall coat,No,1120,280,Green,Orange,Simple,Top,-840
coverall coat,No,1120,280,Blue,Beige,Simple,Top,-840
coverall coat,No,1120,280,Beige,Brown,Simple,Top,-840
coverall coat,No,1120,280,Red,Brown,Simple,Top,-840
cowboy shirt,No,2100,525,Beige,Blue,Simple,Top,-1575
cowboy shirt,No,2100,525,Red,Brown,Simple,Top,-1575
cowboy shirt,No,2100,525,Blue,Black,Simple,Top,-1575
cowboy shirt,No,2100,525,Light blue,Green,Simple,Top,-1575
cowboy shirt,No,2100,525,Orange,Brown,Simple,Top,-1575
cycling shirt,No,1200,300,White,Blue,Active,Top,-900
cycling shirt,No,1200,300,Blue,Black,Active,Top,-900
cycling shirt,No,1200,300,Red,Black,Active,Top,-900
cycling shirt,No,1200,300,Black,Yellow,Active,Top,-900
cycling shirt,No,1200,300,Green,Red,Active,Top,-900
cycling shirt,No,1200,300,Orange,Gray,Active,Top,-900
cycling shirt,No,1200,300,Light blue,Purple,Active,Top,-900
cycling shirt,No,1200,300,Pink,Purple,Active,Top,-900
dance-team jacket,No,1680,420,Black,Yellow,Active,Top,-1260
dance-team jacket,No,1680,420,White,Yellow,Active,Top,-1260
dance-team jacket,No,1680,420,Purple,Yellow,Active,Top,-1260
dance-team jacket,No,1680,420,Red,Yellow,Active,Top,-1260
danger tank,No,640,160,Yellow,Black,Active,Top,-480
denim jacket,No,1400,350,Blue,Blue,Simple,Top,-1050
denim jacket,No,1400,350,Light blue,Light blue,Simple,Top,-1050
denim jacket,No,1400,350,Black,Black,Simple,Top,-1050
denim jacket,No,1400,350,White,White,Simple,Top,-1050
denim vest,No,1120,280,Light blue,White,Active,Top,-840
denim vest,No,1120,280,Blue,White,Active,Top,-840
denim vest,No,1120,280,Black,White,Active,Top,-840
denim vest,No,1120,280,White,White,Active,Top,-840
detective's coat,No,2500,625,Brown,Brown,Elegant,Top,-1875
detective's coat,No,2500,625,Gray,Gray,Elegant,Top,-1875
detective's coat,No,2500,625,Beige,Beige,Elegant,Top,-1875
diner apron,No,840,210,Pink,White,Active,Top,-630
diner apron,No,840,210,Red,White,Active,Top,-630
diner apron,No,840,210,Blue,White,Active,Top,-630
diner apron,No,840,210,Yellow,White,Active,Top,-630
diner apron,No,840,210,Green,White,Active,Top,-630
diner apron,No,840,210,Beige,White,Active,Top,-630
diner apron,No,840,210,Black,White,Active,Top,-630
doctor's coat,No,2160,540,White,Red,Simple,Top,-1620
doctor's coat,No,2160,540,White,Black,Simple,Top,-1620
dolly shirt,No,960,240,Pink,Pink,Cute,Top,-720
dolly shirt,No,960,240,Light blue,Blue,Cute,Top,-720
dolly shirt,No,960,240,Yellow,Orange,Cute,Top,-720
dolly shirt,No,960,240,Purple,Pink,Cute,Top,-720
dotted raincoat,No,1600,400,Light blue,Pink,Cute,Top,-1200
dotted raincoat,No,1600,400,Pink,Orange,Cute,Top,-1200
dotted raincoat,No,1600,400,Green,Yellow,Cute,Top,-1200
dotted raincoat,No,1600,400,Blue,Green,Cute,Top,-1200
dotted raincoat,No,1600,400,Light blue,Yellow,Cute,Top,-1200
dotted raincoat,No,1600,400,Gray,Yellow,Cute,Top,-1200
doublet,No,1520,380,Black,White,Simple,Top,-1140
doublet,No,1520,380,Blue,White,Simple,Top,-1140
doublet,No,1520,380,Green,White,Simple,Top,-1140
doublet,No,1520,380,Red,White,Simple,Top,-1140
down jacket,No,1120,280,Blue,Blue,Active,Top,-840
down jacket,No,1120,280,Black,Black,Active,Top,-840
down jacket,No,1120,280,Red,Red,Active,Top,-840
down jacket,No,1120,280,White,White,Active,Top,-840
down jacket,No,1120,280,Green,Green,Active,Top,-840
down jacket,No,1120,280,Yellow,Yellow,Active,Top,-840
down jacket,No,1120,280,Orange,Orange,Active,Top,-840
down ski jacket,No,1680,420,Red,Yellow,Active,Top,-1260
down ski jacket,No,1680,420,Blue,Green,Active,Top,-1260
down ski jacket,No,1680,420,Blue,Light blue,Active,Top,-1260
down ski jacket,No,1680,420,Blue,Red,Active,Top,-1260
dragon jacket,No,2000,500,Black,Yellow,Active,Top,-1500
dreamy sweater,No,1440,360,Pink,Light blue,Cute,Top,-1080
dreamy sweater,No,1440,360,Blue,Purple,Cute,Top,-1080
dress shirt,No,560,140,White,White,Simple,Top,-420
dress shirt,No,560,140,Gray,Gray,Simple,Top,-420
dress shirt,No,560,140,Green,Green,Simple,Top,-420
dress shirt,No,560,140,Pink,Pink,Simple,Top,-420
dress shirt,No,560,140,Blue,Blue,Simple,Top,-420
earbuds combo,No,1400,350,Brown,Black,Cool,Top,-1050
earbuds combo,No,1400,350,Green,Black,Cool,Top,-1050
earbuds combo,No,1400,350,Blue,Black,Cool,Top,-1050
earbuds combo,No,1400,350,Yellow,Black,Cool,Top,-1050
eight-ball tee,No,560,140,Black,White,Active,Top,-420
emblem blazer,No,1960,490,Green,Red,Elegant,Top,-1470
emblem blazer,No,1960,490,Blue,Blue,Elegant,Top,-1470
emblem blazer,No,1960,490,Brown,Green,Elegant,Top,-1470
emblem blazer,No,1960,490,Red,Pink,Elegant,Top,-1470
embroidered tank,No,960,240,Red,White,Cute,Top,-720
embroidered tank,No,960,240,Purple,White,Cute,Top,-720
embroidered tank,No,960,240,Blue,White,Cute,Top,-720
embroidered tank,No,960,240,Pink,White,Cute,Top,-720
embroidered tank,No,960,240,Green,White,Cute,Top,-720
embroidered tank,No,960,240,Orange,White,Cute,Top,-720
energetic sweater,No,960,240,Yellow,Light blue,Simple,Top,-720
energetic sweater,No,960,240,Light blue,Pink,Simple,Top,-720
energetic sweater,No,960,240,Purple,Green,Simple,Top,-720
energetic sweater,No,960,240,Pink,Yellow,Simple,Top,-720
explorer shirt,No,1120,280,Beige,Orange,Active,Top,-840
explorer shirt,No,1120,280,Green,Red,Active,Top,-840
explorer shirt,No,1120,280,Gray,Green,Active,Top,-840
explorer shirt,No,1120,280,Blue,Yellow,Active,Top,-840
faux-hair sweater,No,1200,300,Red,Black,Cool,Top,-900
faux-hair sweater,No,1200,300,White,Black,Cool,Top,-900
faux-shearling coat,No,1680,420,Beige,White,Elegant,Top,-1260
faux-shearling coat,No,1680,420,Pink,White,Elegant,Top,-1260
faux-shearling coat,No,1680,420,Green,White,Elegant,Top,-1260
faux-shearling coat,No,1680,420,Black,White,Elegant,Top,-1260
faux-shearling coat,No,1680,420,Gray,White,Elegant,Top,-1260
fischerhemd,No,1800,450,Blue,Red,Simple,Top,-1350
fishing vest,No,1440,360,Red,White,Active,Top,-1080
fishing vest,No,1440,360,Blue,White,Active,Top,-1080
fishing vest,No,1440,360,Orange,White,Active,Top,-1080
fishing vest,No,1440,360,Purple,White,Active,Top,-1080
fishing vest,No,1440,360,Black,White,Active,Top,-1080
fishing vest,No,1440,360,Pink,White,Active,Top,-1080
fishing vest,No,1440,360,Green,White,Active,Top,-1080
fitness tank,No,800,200,Green,Black,Active,Top,-600
fitness tank,No,800,200,Pink,Black,Active,Top,-600
fitness tank,No,800,200,Light blue,Black,Active,Top,-600
fitness tank,No,800,200,Orange,Black,Active,Top,-600
fitness tank,No,800,200,Black,Black,Active,Top,-600
fitness tank,No,800,200,Yellow,Black,Active,Top,-600
fitness tank,No,800,200,Red,Black,Active,Top,-600
fitness tank,No,800,200,Purple,Black,Active,Top,-600
five-ball tee,No,560,140,Orange,White,Active,Top,-420
flame tee,No,800,200,Red,Black,Active,Top,-600
flannel shirt,No,1200,300,Red,Black,Simple,Top,-900
flannel shirt,No,1200,300,Green,Black,Simple,Top,-900
flannel shirt,No,1200,300,Blue,Black,Simple,Top,-900
flannel shirt,No,1200,300,Beige,Black,Simple,Top,-900
flannel shirt,No,1200,300,Purple,Black,Simple,Top,-900
flashy cardigan,No,1200,300,Red,Colorful,Gorgeous,Top,-900
flashy cardigan,No,1200,300,Blue,Colorful,Gorgeous,Top,-900
flashy jacket,No,1960,490,White,Red,Gorgeous,Top,-1470
flashy jacket,No,1960,490,Black,Yellow,Gorgeous,Top,-1470
flashy jacket,No,1960,490,Purple,Blue,Gorgeous,Top,-1470
flashy jacket,No,1960,490,Red,Black,Gorgeous,Top,-1470
flashy jacket,No,1960,490,Green,Green,Gorgeous,Top,-1470
flashy jacket,No,1960,490,Yellow,Purple,Gorgeous,Top,-1470
flight jacket,No,1680,420,Brown,Beige,Cool,Top,-1260
flight jacket,No,1680,420,Black,Gray,Cool,Top,-1260
flight jacket,No,1680,420,Green,Orange,Cool,Top,-1260
flower sweater,No,1200,300,Red,White,Cute,Top,-900
flower sweater,No,1200,300,Green,Orange,Cute,Top,-900
flower sweater,No,1200,300,White,Red,Cute,Top,-900
flower sweater,No,1200,300,Yellow,Red,Cute,Top,-900
folk shirt,No,1300,325,Red,Beige,Simple,Top,-975
folk shirt,No,1300,325,Brown,Yellow,Simple,Top,-975
folk shirt,No,1300,325,Light blue,Gray,Simple,Top,-975
football shirt,No,1120,280,Green,White,Active,Top,-840
football shirt,No,1120,280,White,Black,Active,Top,-840
football shirt,No,1120,280,Yellow,Black,Active,Top,-840
football shirt,No,1120,280,Red,White,Active,Top,-840
football shirt,No,1120,280,Blue,White,Active,Top,-840
football shirt,No,1120,280,Green,Black,Active,Top,-840
football shirt,No,1120,280,Orange,Black,Active,Top,-840
football shirt,No,1120,280,Black,White,Active,Top,-840
four-ball tee,No,560,140,Purple,White,Active,Top,-420
frog tee,No,640,160,Beige,Green,Active,Top,-480
front-tie button-down shirt,No,800,200,Blue,Blue,Active,Top,-600
front-tie button-down shirt,No,800,200,Pink,Pink,Active,Top,-600
front-tie button-down shirt,No,800,200,Yellow,Yellow,Active,Top,-600
front-tie button-down shirt,No,800,200,Gray,Gray,Active,Top,-600
front-tie tee,No,640,160,Black,Black,Active,Top,-480
front-tie tee,No,640,160,White,White,Active,Top,-480
front-tie tee,No,640,160,Red,Red,Active,Top,-480
front-tie tee,No,640,160,Yellow,Yellow,Active,Top,-480
fuzzy vest,No,1300,325,Blue,Blue,Simple,Top,-975
fuzzy vest,No,1300,325,Beige,Beige,Simple,Top,-975
fuzzy vest,No,1300,325,Brown,Brown,Simple,Top,-975
fuzzy vest,No,1300,325,Green,Green,Simple,Top,-975
fuzzy vest,No,1300,325,Red,Gray,Simple,Top,-975
garden tank,No,1120,280,Pink,Pink,Cute,Top,-840
garden tank,No,1120,280,Blue,Purple,Cute,Top,-840
garden tank,No,1120,280,Orange,Orange,Cute,Top,-840
garden tank,No,1120,280,Green,Green,Cute,Top,-840
gilet and shirt,No,1120,280,Black,White,Cool,Top,-840
gilet and shirt,No,1120,280,Blue,White,Cool,Top,-840
gilet and shirt,No,1120,280,Red,Black,Cool,Top,-840
gilet and shirt,No,1120,280,Gray,Black,Cool,Top,-840
gingham picnic shirt,No,960,240,Red,White,Simple,Top,-720
gingham picnic shirt,No,960,240,Green,White,Simple,Top,-720
gingham picnic shirt,No,960,240,Blue,White,Simple,Top,-720
gingham picnic shirt,No,960,240,Black,White,Simple,Top,-720
gingham picnic shirt,No,960,240,Orange,White,Simple,Top,-720
gingham picnic shirt,No,960,240,Pink,White,Simple,Top,-720
gingham picnic shirt,No,960,240,Purple,White,Simple,Top,-720
gingham picnic shirt,No,960,240,Light blue,White,Simple,Top,-720
gold-print tee,No,1120,280,Black,Yellow,Cool,Top,-840
gold-print tee,No,1120,280,White,Yellow,Cool,Top,-840
gown coat,No,2000,500,Brown,Brown,Elegant,Top,-1500
gown coat,No,2000,500,Black,Black,Elegant,Top,-1500
gown coat,No,2000,500,Light blue,Blue,Elegant,Top,-1500
gown coat,No,2000,500,Red,Brown,Elegant,Top,-1500
graduation gown,No,3360,840,Black,Red,Simple,Top,-2520
graduation gown,No,3360,840,Black,Green,Simple,Top,-2520
graduation gown,No,3360,840,Black,Blue,Simple,Top,-2520
graduation gown,No,3360,840,Black,Yellow,Simple,Top,-2520
groovy shirt,No,1440,360,Orange,Orange,Cool,Top,-1080
groovy shirt,No,1440,360,Green,Green,Cool,Top,-1080
groovy shirt,No,1440,360,Red,Red,Cool,Top,-1080
groovy tunic,No,1680,420,Orange,Beige,Active,Top,-1260
groovy tunic,No,1680,420,Brown,Blue,Active,Top,-1260
groovy tunic,No,1680,420,Beige,Pink,Active,Top,-1260
guayabera shirt,No,1120,280,Green,Green,Cool,Top,-840
guayabera shirt,No,1120,280,Red,Red,Cool,Top,-840
guayabera shirt,No,1120,280,Brown,Brown,Cool,Top,-840
guayabera shirt,No,1120,280,Blue,Blue,Cool,Top,-840
guide shirt,No,800,200,White,Green,Simple,Top,-600
guide shirt,No,800,200,White,Red,Simple,Top,-600
guide shirt,No,800,200,White,Yellow,Simple,Top,-600
gym tee,No,640,160,White,Red,Active,Top,-480
gym tee,No,640,160,White,Blue,Active,Top,-480
gym tee,No,640,160,White,Green,Active,Top,-480
gym tee,No,640,160,White,Black,Active,Top,-480
hallo tee,No,640,160,Black,Orange,Simple,Top,-480
hand-knit tank,No,840,210,Orange,Orange,Elegant,Top,-630
hand-knit tank,No,840,210,White,White,Elegant,Top,-630
hand-knit tank,No,840,210,Black,Black,Elegant,Top,-630
hand-knit tank,No,840,210,Blue,Blue,Elegant,Top,-630
hand-knit tank,No,840,210,Green,Green,Elegant,Top,-630
hand-knit tank,No,840,210,Red,Red,Elegant,Top,-630
handmade cape,No,500,125,Red,Light blue,Active,Top,-375
hanten jacket,No,1120,280,Blue,Beige,Simple,Top,-840
hanten jacket,No,1120,280,Green,Beige,Simple,Top,-840
hanten jacket,No,1120,280,Brown,Beige,Simple,Top,-840
hanten jacket,No,1120,280,Purple,Beige,Simple,Top,-840
happi tee,No,960,240,Blue,White,Active,Top,-720
happi tee,No,960,240,Red,White,Active,Top,-720
happi tee,No,960,240,Gray,White,Active,Top,-720
happi tee,No,960,240,Green,White,Active,Top,-720
happi tee,No,960,240,Purple,White,Active,Top,-720
hawk jacket,No,1750,437,Red,White,Active,Top,-1313
heart apron,No,1000,250,Pink,White,Cute,Top,-750
heart apron,No,1000,250,Light blue,White,Cute,Top,-750
heart apron,No,1000,250,Red,White,Cute,Top,-750
heart apron,No,1000,250,Purple,White,Cute,Top,-750
heart apron,No,1000,250,Green,White,Cute,Top,-750
heart sweater,No,1000,250,Pink,Red,Cute,Top,-750
heart sweater,No,1000,250,Red,White,Cute,Top,-750
heavy-duty shirt,No,1000,250,Orange,Orange,Active,Top,-750
heavy-duty shirt,No,1000,250,Green,Green,Active,Top,-750
